Candidate,Party,Votes
AJAY PRATAP SINGH,Bharatiya Janata Party,82867
YOGESH PRATAP SINGH,Samajwadi Party,54462
SANTOSH KUMAR TIWARI,Bahujan Samaj Party,33241
RAJDUTT MISHRA,Independent,1417
DEEP PRAKASH SINGH,Lok Dal,1290
VASDEV,Independent,1103
RAJESH KUMAR,Independent,990
JAGDISH PRASAD,Independent,898
CHET RAM,Independent,896
KRISHNA  KUMAR,Independent,626
PREM SAGAR,Independent,605
BHANU PRATAP,Bharatiya Subhash Sena,526
UDAI BHAN,Independent,439
AMIT KUMAR,Independent,360
None of the Above,None of the Above,2748
