Candidate,Party,Votes
TEJPAL SINGH NAGAR,Bharatiya Janata Party,141226
SATVEER SINGH GURJAR,Bahujan Samaj Party,61049
SAMIR BHATI,Indian National Congress,39975
RAVINDRA SINGH BHATI,Rashtriya Lok Dal,10373
RAMESH SINGH RAWAL,Rashtravadi Pratap Sena,3835
SONU KUMAR,Independent,1471
ANIL,Independent,1382
RAJKUMAR,Independent,920
SHAKILA,Independent,833
MAHAKAR SINGH,Independent,784
RAMDHAN,Hind Congress Party,568
JAGDISH,Rashtriya Kisan Vikas Party,464
DEVIRAM,Independent,436
SANJAY KUMAR,Shivsena,300
None of the Above,None of the Above,1665
