Candidate,Party,Votes
RAJEEV KUMAR SINGH URF BABBU BHAIYA,Bharatiya Janata Party,79110
SINOD KUMAR SHAKYA (DEEPU BHAIYA),Bahujan Samaj Party,53351
CAPTAIN ARJUN SINGH,Lok Dal,39029
PREM PAL SINGH YADAV,Indian National Congress,32243
DR SHAILESH PATHAK,Peace Party,11064
JITENDRA SINGH YADAV,Rashtriya Lok Dal,1898
MAN SINGH,Desh Shakti Party,1195
RAJVEER SHARMA,Bharatiya Subhash Sena,1181
RAJENDRA SINGH,Independent,1136
DR AJEET SINGH,Independent,995
VED BABU,Jan Seva Sahayak Party,903
RAJKUMAR,Bhartiya Bhaichara Party,746
None of the Above,None of the Above,1971
