Candidate,Party,Votes
JANMEJAI SINGH,Bharatiya Janata Party,88030
J.P. JAISWAL,Samajwadi Party,41794
ABHAY NATH TRIPATHI,Bahujan Samaj Party,29218
VIJAY PRATAP YADAV,Peace Party,12696
RAKESH KUMAR PATHAK,Communist Party of India,1791
BAKRIDAN,Independent,1737
NITYANAND PANDEY,Independent,1448
MANNU TIWARI,Independent,952
KRISHNA,Rashtriya Lok Dal,820
RAJU CHAUHAN,Moderate Party,657
NARENDRA MANI TRIPATHI,Lok Dal,610
VIJAY JUAATHA,Independent,599
PUSHPENDRA VERMA,Jan Adhikar Party,557
SANJAY KUMAR VISWAKARMA,Mahakranti Dal,523
UDAI BHAN NISHAD,Bhartiya  Sarvjan Party,417
None of the Above,None of the Above,1440
