Candidate,Party,Votes
AAASLAM CHOUDHARY,Bahujan Samaj Party,88580
RAMESH CHAND TOMER,Bharatiya Janata Party,85004
DHARMESH SINGH TOMAR,Samajwadi Party,71786
NAGENDAR SINGH URF NAGAN,Rashtriya Lok Dal,3025
MUKESH KUMAR,Swatantra Jantaraj Party,2026
KULDEEP,Independent,414
VIRENDRA,Rashtravadi Pratap Sena,383
LALIT MOHAN SAXENA,Peace Party,379
SHAHID,National Lokmat Party,367
RAJESH GIRI,Sarvodaya Bharat Party,335
SURESH CHAND SHISHODIA,Shivsena,249
None of the Above,None of the Above,1279
