Candidate,Party,Votes
LAKHAN SINGH,Bharatiya Janata Party,71480
PRADEEP KUMAR YADAV,Samajwadi Party,59386
RAM KUMAR AWASTHI,Bahujan Samaj Party,51452
VAADSHAH RAJPUT,Nirbal Indian Shoshit Hamara Aam Dal,2761
ATAR SINGH KUSHWAHA,Communist Party of India,1282
MAHENDRA PRATAP SINGH,Independent,805
SARNAAM,Independent,678
VEDNARAYAN BATHAM,Jan Adhikar Manch,656
ARVIND SHARMA,Lok Dal,651
SHANDHYA DEVI,Independent,586
RAJNI,Independent,477
YOGESH PRATAP SINGH,Bahujan Mukti Party,287
BALVEER SINGH,Independent,238
MUKESH KUMAR,Independent,185
None of the Above,None of the Above,690
