Candidate,Party,Votes
SUKHDEV RAJBHAR,Bahujan Samaj Party,62125
ADIL SHAIKH,Samajwadi Party,58480
KRISHNA MURARI,Bharatiya Janata Party,49979
ARCHANA,Independent,6828
JASHWANT,Mahakranti Dal,2227
RANVIJAY,Nirbal Indian Shoshit Hamara Aam Dal,2105
RAM SINGH,Rashtriya Lok Dal,1064
KRISHNA KANT YADAV,All India Forward Bloc,728
SHIVBACHAN,Independent,684
SUKHNAYAN,Jan Shakti Ekta Party,537
RIZVAN,Bhartiya Sarvodaya Party,367
NARENDRA,Lok Dal,364
JITENDRA KUMAR,Bahujan Mukti Party,278
None of the Above,None of the Above,1653
