Candidate,Party,Votes
VIPIN KUMAR DAVID,Bharatiya Janata Party,82516
JUGENDRA SINGH YADAV,Samajwadi Party,61387
GAJENDRA SINGH CHAUHAN URF BABLOO,Bahujan Samaj Party,41937
ASHISH KUMAR YADAV,Lok Dal,11032
RAJARAM,Communist Party of India  (Marxist),920
SUNEET CHAUHAN,Independent,679
SUKHVENDRA SINGH,Independent,463
RAJESH KUMAR,Independent,361
YOGENDRAPAL SINGH,Independent,333
PRADEEP KUMAR,Jan Adhikar Party,274
MANOJ KUMAR,Independent,218
RAJESH KUMAR,Voters Party  International,127
OMENDRA SINGH,Independent,125
None of the Above,None of the Above,1277
