Candidate,Party,Votes
SARITA BHADAURIYA,Bharatiya Janata Party,91234
KULDEEP GUPTA 'SANTU',Samajwadi Party,73892
NARENDRA NATH CHATURVEDI URF BALLU CHOUDHRI,Bahujan Samaj Party,43577
AMAR SINGH,Communist Party of India  (Marxist),1431
AMAR SINGH URF SANJAY TOMAR,Vikas Party,1251
ASHISH SINGH,Lok Dal,1203
SATENDRA SINGH,Peace Party,941
SUKHRANI,Manav Hit Party,793
SHYAM SINGH,Bhartiya Navodaya Party,774
MANISH KUMAR BAJPAI,Independent,756
MANOJ KUMAR RAJPUT,Jan Adhikar Manch,625
ANIL KUMAR,Independent,612
PRADEEP SAXENA,Independent,578
RAJBAHADUR,Rashtriya Shoshit Samaj Party,500
VIKAS BABU,Independent,477
VIJENDRA SINGH CHAUHAN,Rashtriya Janadhikar Party,421
DEEPAK S. DSOUZA,Bahujan Mukti Party,361
RAVINDRA SINGH,Bharatiya Subhash Sena,323
HARENDRA KUMAR,Swatantra Jantaraj Party,267
UPDESH KUMAR,Nasha Mukt Bharat Party,233
BRAJRAM RATHAUR,Lok Raksha Party,151
None of the Above,None of the Above,594
