Candidate,Party,Votes
RAM PRATAP SINGH,Bharatiya Janata Party,137381
DR. DHARMPAL SINGH,Bahujan Samaj Party,90126
RAJBETI,Samajwadi Party,43925
NARENDRA BAGHEL,Rashtriya Lok Dal,3496
RAJESH KUMAR KASHYAP,Nirbal Indian Shoshit Hamara Aam Dal,2213
ATAL BIHARI,Rashtriya Krantikari Samajwadi Party,1204
NAVEEN KUMAR,Independent,945
UMESH CHANDRA,Independent,607
PREMCHAND,Independent,541
LAKHAN KUMAR JATAV,Independent,430
SUNIL PANKAJ,Jan Adhikar Manch,389
MAHENDRA SINGH,Bhartiya Sarvodaya Party,381
VIJAY SINGH BAGHEL,Rashtriya Shoshit Samaj Party,290
MALKHAN SINGH JATAV,Republican Party of India Ektavadi,202
GAURAV,Rashtriya Lok Samta Party,200
None of the Above,None of the Above,1872
