Candidate,Party,Votes
MEJOR SUNIL DUTT DWIVEDI,Bharatiya Janata Party,93626
MOHD. UMAR KHAN,Bahujan Samaj Party,48199
VIJAY SINGH,Samajwadi Party,36012
MANOJ AGARWAL,Independent,20656
VEENA KUREEL,Independent,932
SARVESH SHAKYA,Mahan Dal,878
SHANTI SWAROOP,Independent,844
REHANA KHAN,Independent,839
SARVENDRA SINGH,Independent,809
DEEPAK KUMAR,Independent,764
SURESH,Independent,686
SURENDRA KUMAR,Rashtriya Lok Dal,660
VIJAY SINGH,Independent,639
JANARDAN DUTT,Poorna Swaraj Manch,456
SHYAM SREE,Bhartiya Shakti Chetna Party,397
MANOJ KUMAR,Independent,372
JAYVEER,Republican Party of India,231
HANSRAM,Independent,229
DHANANJIA,Bahujan Mukti Party,228
GAURAV KUMAR,Independent,166
None of the Above,None of the Above,359
