Candidate,Party,Votes
VIKRAM SINGH,Bharatiya Janata Party,89481
CHANDRA PRAKASH LODHI,Samajwadi Party,57983
SAMEER TRIVEDI,Bahujan Samaj Party,35548
GAYA PRASAD,Communist Party of India  (Marxist),2013
SAURABH MISHRA,Independent,1744
VIKRAM SINGH LODHI,Rashtriya Lok Dal,1614
RAJ KUMAR LODHI,Independent,909
MO. ANWAR ALI,Samtawadi Republican Party,815
RAMESH KUMAR GUPTA,Parivartan Samaj Party,677
DURGA PRASAD GUPTA,Independent,548
GANGA PRASAD SINGH LODHI,Independent,513
BABU RAM,Independent,480
KAMLESH KUMARI,Bhartiya Shakti Chetna Party,456
SURESH,Bahujan Mukti Party,426
None of the Above,None of the Above,1961
