Candidate,Party,Votes
GANGA,Bharatiya Janata Party,102778
VISHWNATH,Samajwadi Party,60856
JAGDISH SINGH,Bahujan Samaj Party,34250
MOHAN,Communist Party of India,2581
AZIMULLAH ALIAS GUDDU,Peace Party,2210
SUNIL ALIAS MANOJ SINGH,Independent,1966
BIRJA,Independent,1050
RAJMANGAL YADAV,Bahujan Mukti Party,1002
SAHARUN NISA,Independent,893
JAWAHAR LAL YADAV,Rashtriya Lok Dal,817
RAJKUMAR,Independent,808
SAROJ AHAMAD,Nationalist Congress Party,735
NANDLAL GUPT VIDROHI,Independent,584
ARCHANA PANDEY,Independent,550
VINOD,Bhartiya Sarvodaya Party,518
None of the Above,None of the Above,2811
