Candidate,Party,Votes
MANISH ASIJA,Bharatiya Janata Party,102654
AZIM BHAI,Samajwadi Party,60927
KHALID NASIR,Bahujan Samaj Party,51387
AHTSHAM ALI (BABAR),All India Majlis-E-Ittehadul Muslimeen,11478
AJAY KUMAR,Jan Adhikar Manch,1688
AMIT GARG,Independent,703
RAJKISHOR TIWARI,Independent,502
SHOUKIN SINGH,Bharatiya Subhash Sena,349
JAHANGIR KHAN ALVI,Peace Party,336
KAUSHAL KISHORE UPADHYAY,Rashtriya Sawarn Dal,318
MO SHAHAJAD KHAN,Indian Union Muslim League,270
RAMGOPAL,Rashtriya Lok Samta Party,237
BALVEER SINGH,Bharatiya Kisan Parivartan Party,218
NITENDAR GUPTA,Lok Dal,187
DEEPAK SHARMA,Manuvadi Party,118
None of the Above,None of the Above,906
