Candidate,Party,Votes
ARVIND GIRI,Bharatiya Janata Party,122497
VINAY TIWARI,Samajwadi Party,67480
BRIJ SWAROOP KANAUJIA,Bahujan Samaj Party,51542
MAKARAND SINGH,Nationalist Congress Party,1252
VIDYAWATI,Independent,1113
DINESH KUMAR,Rashtriya Kisan Majdoor Party,964
MANISH KUMAR GUPTA,Peace Party,870
PARAMJEET SHARMA,Bharatiya Subhash Sena,580
NARENDRA KUMAR URF NARENDRA KUMAR,Independent,530
SHAMSHUDDIN,Rashtriya Vikalp Party,517
RAGHVENDRA SINGH CHAUHAN,Rashtriya Lokshakti Party,473
None of the Above,None of the Above,3022
