Candidate,Party,Votes
SHAILESH KUMAR SINGH,Bharatiya Janata Party,55716
ALAUDDIN,Bahujan Samaj Party,53413
DR.SHIV PRATAP YADAV,Samajwadi Party,46378
ANURAG,Independent,27652
MANJOOR ALAM KHAN,All India Majlis-E-Ittehadul Muslimeen,3160
SWAYAMBAR PRASAD,Nirbal Indian Shoshit Hamara Aam Dal,1652
RAM NIWAS,Independent,1179
SAJJAD HUSAIN,Rashtriya Lok Dal,1154
A WAHID,Independent,925
RAM DULARE,Independent,815
NAND KUMAR PANDEY,Independent,646
MUSTAFA KHAN,Independent,613
MUKTIYAR,Bharatiya Subhash Sena,484
MAHESH KUMAR,Independent,402
None of the Above,None of the Above,1914
