Candidate,Party,Votes
JAWAHAR LAL RAJPOOT,Bharatiya Janata Party,93378
DEEP NARAYAN SINGH (DEEPAK YADAV),Samajwadi Party,77547
DR. ARUN KUMAR MISHRA,Bahujan Samaj Party,48387
RAJENDRA PAL,Jan Adhikar Manch,1197
GULAB SINGH,Rashtriya Lok Dal,1061
AMAR SINGH (FAUJI),Vaicharik Kranti Party,926
RAMGOPAL,Independent,831
MADHUPAL SINGH,Independent,789
SUSHANTI YADAV,Independent,691
GYADEEN,Independent,522
BALARAM VERMA,Swatantra Jantaraj Party,492
ATMARAM,Bhartiya Shakti Chetna Party,321
None of the Above,None of the Above,2645
