Candidate,Party,Votes
KAMAL SINGH MALIK,Bharatiya Janata Party,91086
PRASHANT CHAUDHARY,Bahujan Samaj Party,55792
MADAN CHAUHAN,Samajwadi Party,48810
SATPAL YADAV,Independent,15089
KUNWAR AYYUB ALI,Rashtriya Lok Dal,5648
SANDEEP KUMAR,Independent,879
DR. HUKAM SINGH,Independent,812
VEERESH CHAUDHARY,Rashtriya Kisan Majdoor Party,618
PT. GOPAL SHARMA,Sarvodaya Bharat Party,600
AMRITA KUMAR,Independent,465
SIDDHARTH MALIK,Independent,457
NAFEES AHMAD,Bhartiya Janta Dal,349
DEEN MOHAMMAD,Ittehad-E-Millait Council,242
BIJENDRA SINGH,Independent,200
VINOD KUMAR,Rajlok Party,136
None of the Above,None of the Above,572
