Candidate,Party,Votes
PRABHAT KUMAR VERMA,Bharatiya Janata Party,72455
RAM PRATAP SINGH,Samajwadi Party,42600
ABDUL KALAM,Bahujan Samaj Party,38667
VIKRAM SINGH,Independent,8013
TARUNENDRA CHANDRA PATEL,Indian National Congress,2746
VAIBHAV PANDEY,Rashtriya Lok Dal,1514
ISRAR AHMAD NANKU,Communist Party of India,1159
VIRENDER,Independent,786
VIJAY PRATAP,Independent,783
SARVESH KUMAR  SINGH,Independent,727
GIRISH NARAYAN PANDE,Sarvodaya Bharat Party,710
TILAK RAM,Bahujan Mukti Party,522
SAKIR ALI,Independent,451
RAM AVATAR,Independent,451
RAJESH KUMAR,Independent,361
None of the Above,None of the Above,1435
