Candidate,Party,Votes
RAKESH PRATAP SINGH,Samajwadi Party,77915
MOHAMMAD NAYEEM,Indian National Congress,51496
VIJAY KISHOR,Bahujan Samaj Party,33848
UMA SHANKAR PANDEY,Bharatiya Janata Party,23642
RAVINDRA KUMAR,Rashtriya Lok Dal,1876
RAM ACHAL,Independent,1750
MO. HASSAN LAHRI,Sarv Sambhaav Party,1547
MO. MASOOM,Independent,1017
SHRIRAM BAURASI,Independent,975
HARISHCHANDRA,Manavtawadi Samaj Party,901
DINESH SHUKLA,AARAKSHAN VIRODHI PARTY,800
VINOD KUMAR MAURYA,Bahujan Mukti Party,624
KANS RAJ,Kisan Kranti Dal,593
JAGPAT LAL,Independent,557
DR. BAJRANG BAHADUR SINGH,Lok Dal,541
SHARAD KUMAR PANDEY,Independent,538
HARI BAKSA,Independent,529
RAM BHAWAN,Manvadhikar National Party,424
MAHADEV PRASAD,Vikas Party,320
None of the Above,None of the Above,1155
