Candidate,Party,Votes
ATUL GARG,Bharatiya Janata Party,124201
SURESH BANSAL,Bahujan Samaj Party,53696
K K SHARMA,Indian National Congress,39648
DHIRENDRA,Independent,2136
SULTAN SINGH,Rashtriya Lok Dal,2072
VIKRAM,Swatantra Jantaraj Party,913
SHAMSHER RANA,Independent,389
AKHILESH KUMAR,Independent,386
VIKAS MALHOTRA,Independent,376
MAHESH CHAND GAUTAM,Independent,241
KIRAN,Sarv Sambhaav Party,227
MATBUL AHMAD,Bahujan Mukti Party,205
AKILA BEGUM,Bharatiya Janvadi Party,182
None of the Above,None of the Above,1184
