Candidate,Party,Votes
SANGEETA,Bharatiya Janata Party,92090
RAJESH KUSHWAHA,Samajwadi Party,59483
SANTOSH KUMAR,Bahujan Samaj Party,54987
JYOTSANA SINGH,Nirbal Indian Shoshit Hamara Aam Dal,1418
RUDRA DATT TIWARI,Communist Party of India,1137
SATYADEV YADAV,Lok Dal,728
ASHOK KUMAR,Independent,593
AWADHESH,Janta Raj Party,544
YOGENDRA,Communist Party of India  (Marxist-Leninist)  (Liberation),483
ANGAD,Mahakranti Dal,337
CHANDAN,Bahujan Mukti Party,279
None of the Above,None of the Above,1479
