Candidate,Party,Votes
ANIL KUMAR MAURYA,Bharatiya Janata Party,114305
RAMESH CHANDRA DUBEY,Samajwadi Party,56656
BEENA SINGH,Bahujan Samaj Party,53090
BABA,Independent,1924
EN. VINAY  SINGH MAURYA,Independent,1801
RAJENDRA PRASAD,Rashtriya Lok Dal,1108
GANGESHWAR SINGH CHAUHAN,Janvadi Party(Socialist),979
DHEERENDRA KUMAR URF DHEERAJ CHAUBEY,Independent,936
AMBIKESH,Independent,763
RAM PRAVESH,Communist Party of India  (Marxist-Leninist)  (Liberation),742
JITENDRA SINGH,Bharatiya Subhash Sena,604
KAILASH NATH,Independent,532
GHANSHYAM YADAV,Bahujan Mukti Party,365
None of the Above,None of the Above,5225
