Candidate,Party,Votes
FAGU CHAUHAN,Bharatiya Janata Party,88298
ABBAS ANSARI,Bahujan Samaj Party,81295
SUDHAKAR,Samajwadi Party,59256
VIVEK RAI,Communist Party of India,2285
YOGENDRA,Independent,1894
DEV PRAKASH,Rashtriya Lok Dal,1404
VIJAY YADAV,Independent,1252
SANJAY KUMAR YADAV,Independent,1113
SANJAY SINGH,Independent,914
MD. HUSAIN,Independent,658
CHAKLAL,Ambedkar Samaj Party,635
DINANATH CHAUHAN,Independent,293
RAMPYARE CHAUHAN,Bahujan Mukti Party,284
DARBARI CHAUHAN,Independent,249
MOHAN,Jan Adhikar Party,219
None of the Above,None of the Above,1585
