Candidate,Party,Votes
PRATEEK BHUSHAN SINGH,Bharatiya Janata Party,58254
MO. JALEEL KHAN,Bahujan Samaj Party,46576
SURAJ SINGH,Samajwadi Party,41477
MAHESH NARAYAN TIWARI,Shivsena,35606
RUPESH KUMAR ALIAS NIRMAL SRIVASTAVA,Independent,3805
ISHWAR SARAN,Communist Party of India,1463
SAIYED ABDUL MUEED,Independent,964
KANHAIYA LAL,Independent,855
VISHWANATH,Bharatrashtra Democratic Party,739
NANDU LAL,Independent,582
RAKSHARAM PATHAK,Independent,569
DURGESH KUMAR,Independent,396
ABHISHEK SINGH,Independent,358
GULAB SINGH,Independent,317
None of the Above,None of the Above,1594
