Candidate,Party,Votes
NAFEES AHMAD,Samajwadi Party,70980
SHRIKRISHNA PAL,Bharatiya Janata Party,56020
KAMLA PRASAD YADAV,Bahujan Samaj Party,54271
IMTEYAZ BEG,Communist Party of India,2351
CHANDRMOHAN,Rashtriya Lok Dal,1117
ANIRUDDHA RAM PASI,Asankhya Samaj Party,742
MUNNA LAL,Independent,592
RAJARAM YADAV,Bahujan Mukti Party,529
HAUSHILA,Pichhravarg Mahapanchayat Party,442
VEENA,Bharatiya Bahujan Parivartan  Party,385
HARIHAR PRASAD PANDEY,Federal Democratic Party,350
None of the Above,None of the Above,1521
