Candidate,Party,Votes
DR. RADHA MOHAN DAS AGRAWAL,Bharatiya Janata Party,122221
RANA RAHUL SINGH,Indian National Congress,61491
JANARDAN CHOUDHARI,Bahujan Samaj Party,24297
ARUN KUMAR SHRIVASTAVA,Peace Party,2252
VINOD KUMAR RAI,Rashtriya Lok Dal,946
PRABAL PRATAP SHAHI,Independent,851
ANIL,Independent,705
MOHAN DAS AGRAWAL,Independent,620
SATYA PRAKASH,Independent,606
VINDU DEVI,Independent,469
SHAILESH KUMAR,Independent,393
NANDA SINGH,Satya Kranti Party,385
MOHIT JAYSAWAL,Independent,343
AJAY PANDEY,Sarvodaya Bharat Party,334
VINOD KUMAR BHARTIYA,Bahujan Mukti Party,305
MINA TRIPATHI,Bhartiya Shakti Chetna Party,291
ARUN KUMAR,Independent,280
AMRENDRA,Gondvana Gantantra Party,269
KISHAN CHAND,Independent,232
RAM DAVAN MAURYA,Jan Adhikar Party,205
SHATRUGHAN KUMAR,Independent,182
SESHNATH PANDEY,Rashtriya Janadhar  Party,172
VINAY KUMAR PANDEY,Independent,143
None of the Above,None of the Above,839
