Candidate,Party,Votes
KARINDA SINGH,Bharatiya Janata Party,93538
RAJ KUMAR RAWAT,Bahujan Samaj Party,60529
KR. NARENDRA SINGH,Rashtriya Lok Dal,40999
RANVIR PANDAV,Indian National Congress,5943
PURUSHOTTAN,Communist Party of India,944
NARENDRA KUMAR,Independent,785
SATISH KUMAR,Independent,679
AVADHESH SHARMA,Bharat Kalyan Party,627
RAKESH KUMAR KAUSHIK,Lok Dal,617
SANTOSH,Bharatiya Subhash Sena,567
POORAN,Independent,266
BRAJ KISHOR,Al-Hind Party,180
None of the Above,None of the Above,1398
