Candidate,Party,Votes
VIJAY MISHRA,Nirbal Indian Shoshit Hamara Aam Dal,66448
MAHENDRA KUMAR BIND,Bharatiya Janata Party,46218
RAJESH KUMAR YADAV,Bahujan Samaj Party,44319
RAMRATI BIND,Samajwadi Party,39205
SEEMA DEVI,Independent,1698
RANGLAL GOND,Gondvana Gantantra Party,1486
SUSHIL,Communist Party of India,1374
GANGARAM PAL,Rashtriya Lok Dal,1123
RAMESH KUMAR,Independent,1018
SHIVMANI,Rashtriya Janshanti Party,1004
SATISH BAHADUR (KHANIJ WALE),Independent,995
PREMCHAND BIND,Pragatisheel Manav Samaj Party,859
KOMAL,Independent,693
JAMALUDDIN,RASHTRIYA VIKLANG PARTY,575
SUSHIL KUMAR,Bahujan Mukti Party,432
SEETA DEVI,Aadhi Aabadi Party,419
None of the Above,None of the Above,1034
