Candidate,Party,Votes
ASHOK KUMAR SINGH CHANDEL,Bharatiya Janata Party,110888
DR. MANOJ KUMAR PRAJAPATI,Samajwadi Party,62233
SANJEEV KUMAR URF SANJAY DIXIT,Bahujan Samaj Party,60543
ANUDDIN (MAULANA KHAN),Nirbal Indian Shoshit Hamara Aam Dal,8513
DHARMENDRA,Bhartiya Shakti Chetna Party,1931
RAMAKANT,Independent,1022
LALLU PRASAD,Independent,990
OM PRAKASH,Bahujan Mukti Party,912
MAHESHWARIDEEN,Jan Adhikar Party,841
JAMAL ALAM,VANCHITSAMAJ INSAAF PARTY,748
RAM MILAN,Adarsh Samaj Party,629
None of the Above,None of the Above,3356
