Candidate,Party,Votes
NITIN AGARWAL,Samajwadi Party,97735
RAJA BUX SINGH,Bharatiya Janata Party,92626
DHARMVEER SINGH,Bahujan Samaj Party,30628
SULABH TRIVEDI,Communist Party of India,2000
SANDEEP BHADAURIYA,Independent,1235
SURENDRA NATH,Independent,844
SUMAN GUPTA,Independent,824
SANJEEV KUMAR,Independent,794
BRAHMESH CHANDRA SATYARTHI,Bahujan Mukti Party,434
RAJESH KUMAR KANAUJIYA,Independent,359
SHRIKRISHAN VERMA,Independent,260
KAMLESH KUMAR,Independent,234
RAKESH KUMAR,Independent,185
None of the Above,None of the Above,2203
