Candidate,Party,Votes
AJAY KUMAR SINGH ''AJAY SINGH'',Bharatiya Janata Party,97014
RAJKISHOR SINGH,Samajwadi Party,66908
VIPIN KUMAR SHUKLA,Bahujan Samaj Party,39749
CHANDRAMANI PANDEY,Rashtriya Lok Dal,1950
RAJ SHEKHAR SINGH,Independent,1310
SARVJEET SINGH,Independent,1074
RAM GYAN,Independent,796
RAMPHER,Independent,697
SURYA PRAKASH SINGH,Independent,665
KAILASH NATH SHARMA,Rashtravadi Pratap Sena,527
SALIKRAM MAURYA,Jan Adhikar Party,524
SHIV PRASAD,Bahujan Mukti Party,438
KRISHNA KUMAR UPADHYAY,Independent,363
CHHAKKANRAM CHAUHAN ADVOCATE,Most Backward Classes Of India,343
None of the Above,None of the Above,2274
