Candidate,Party,Votes
PAWAN KUMAR,Bharatiya Janata Party,103864
RADHESHYAM SINGH,Samajwadi Party,50788
VIRENDRA,Bahujan Samaj Party,42651
AJAY RAV,Nirbal Indian Shoshit Hamara Aam Dal,2366
SHAILENDRA PRATAP SINGH ALIAS HIMALAY,Independent,1432
ANIL,Rashtriya Lok Dal,1328
RANAPRATAP,Bhartiya Shakti Chetna Party,1180
MAHENDRA,Independent,827
VRIJEMOHAN,Shivsena,800
MAMATA SINGH,Satya Kranti Party,465
ARTI,Apna Dal United Party,340
JAMASED AALAM BEG,Rashtriya Janadhar  Party,283
None of the Above,None of the Above,1933
