Candidate,Party,Votes
HARI SHANKAR MAHOR,Bharatiya Janata Party,133840
BRAJ MOHAN RAHI,Bahujan Samaj Party,63179
RAJESH RAJ JEEVAN,Indian National Congress,27301
NEKSE LAL,Mahan Dal,5349
GENDA LAL CHAUDHARY,Rashtriya Lok Dal,3616
RAJARAM,Apni Zindgi Apna Dal,1039
HAR SWROOP MAHAUR,Independent,712
CHATAULE MUNSHIRAM NEKRAM,Independent,511
VIJENDRA SINGH,Independent,501
VIJAY,Swatantra Jantaraj Party,361
PINTU,Rashtravadi Pratap Sena,322
NETRAPAL SINGH,Samajwadi Janata Party (ChandraShekhar),310
SAHAB SINGH,Adarsh Samaj Party,257
None of the Above,None of the Above,1256
