Candidate,Party,Votes
RANVENDRA PRATAP SINGH URF DHUNNI BHAIYA,Bharatiya Janata Party,73595
USHA MAURYA,Indian National Congress,55002
MO. ASIF,Bahujan Samaj Party,34415
RAKESH PRAJAPATI,Communist Party of India,3416
PAPPU SINGH,Rashtriya Lok Dal,2291
RAJESH KUMAR SAHU (RAJU SAHU),Independent,1275
ISRAR,Independent,755
SHAMSHER SINGH,Fauji Janta Party,724
ASHIS,Shivsena,699
SHAMSHAD AHMAD,Bahujan Sangharsh Party (Kanshiram),647
KULDEEP URF KULDEEPAK SINGH PAL,Adarsh Lok Dal,484
None of the Above,None of the Above,2361
