Candidate,Party,Votes
JAI KUMAR SINGH JAIKI,Apna Dal (Soneylal),81438
MADANGOPAL VERMA,Samajwadi Party,33832
RAM NARAYAN NISHAD,Bahujan Samaj Party,32010
ADITYA PANDEY,Rashtriya Lok Dal,21812
VIVEK KUMAR,Bhartiya Shakti Chetna Party,2117
PREM NARAYAN,Akhil Bhartiya Swarajya Dal,1519
MANOJ KUMAR,Jay Hind Jay Bharat Party,1262
GRISH CHANDRA,Bharatiya Subhash Sena,1230
SHRIRAM,Sarvshreshth Dal,856
ANOOP SACHAN,Jan Adhikar Party,853
SHRINARAYAN,Lok Dal,783
HARI PRASAD NISHAD,Pragatisheel Manav Samaj Party,756
JAGDISHWAR,Independent,726
KRISHNA DUTT,Fauji Janta Party,579
SHIVNARAYAN,Bharat (Integrated) Rakshak Party,465
None of the Above,None of the Above,1262
