Candidate,Party,Votes
RITESH PANDEY,Bahujan Samaj Party,90309
DR. RAJESH SINGH,Bharatiya Janata Party,77279
SHANKHLAL MAJHI,Samajwadi Party,58773
RAJESH KUMAR VERMA,Bahujan Mukti Party,2151
JAGDISH SINGH,Nirbal Indian Shoshit Hamara Aam Dal,2123
SALIK RAM CHAUHAN,Independent,1557
PREM PRAKASH MAURYA,Jan Adhikar Manch,1434
RAJMANI,Independent,1276
RAVISH CHANDRA VERMA,Rashtriya Lok Dal,1260
SHYAMNARAYAN PANDAY,Communist Party of India,1180
BRIJESH KUMAR TIWARI,Lok Dal,751
RAMPALAT,Most Backward Classes Of India,634
PRAMILA BAUDDH,Moulik Adhikar Party,529
None of the Above,None of the Above,1531
