Candidate,Party,Votes
RAMGOPAL PAPPU LODHI,Bharatiya Janata Party,103426
SHIVPRATAP SINGH,Samajwadi Party,83098
SHIVRAJ SINGH YADAV,Bahujan Samaj Party,26274
RAMVEER SINGH,Lok Dal,11274
RAVINDRA SINGH,Independent,1111
JAY KUMAR,Jan Adhikar Manch,1039
RAMDAS SAVITA,Independent,875
MITHLESH URF SANDHYA RAJPOOT,Independent,477
VIJENDRA SINGH,Bharatiya Subhash Sena,389
MUNENDRA SINGH,Rashtriya Sawarn Dal,321
PRAMOD KUMAR YADAV,Hind Vikas Party,200
None of the Above,None of the Above,1908
