Candidate,Party,Votes
GIRISH CHANDRA YADAV,Bharatiya Janata Party,90324
NADEEM JAVED,Indian National Congress,78040
DINESH TANDAN,Bahujan Samaj Party,41877
SHER BAHADUR,Nirbal Indian Shoshit Hamara Aam Dal,5797
MANNA LAL VERMA,Independent,1473
SACHCHIDANAND,Independent,1423
SUNIL KUMAR SINGH,Rashtriya Lok Dal,1098
ABHISHEK KUMAR,Sarv Sambhaav Party,1008
LAL PRAKASH PAL,Peace Party,581
MANOJ KUMAR,Lok Dal,376
RAYEES AHAMAD,Mahakranti Dal,363
MAHENDRA LAL,Bahujan Mukti Party,354
LADLAY,Ittehad-E-Millait Council,335
DAYA RAM,Mahamukti Dal,302
PRAVEEN KUMAR,Rashtriya Shahri Vikas Party,287
None of the Above,None of the Above,1939
