Candidate,Party,Votes
RAVI SHARMA,Bharatiya Janata Party,117873
SITA RAM KUSHWAHA,Bahujan Samaj Party,62095
RAHUL RAI,Indian National Congress,51242
RAKESH KUMAR SEN,Parivartan Samaj Party,1965
LAXMAN SINGH,Communist Party of India,1249
UMESH YADAV,Rashtriya Lok Dal,968
ARVIND KUMAR VERMA,Swatantra Jantaraj Party,932
RAM KISHAN RAIKWAR,Independent,769
SANJEEV KUMAR SINGH,Independent,715
KUNWAR SATYENDRA PAL SINGH,Bundelkhand Kranti Dal,672
MOHAMMAD IMRAN KHAN,Independent,499
JITENDRA BHADAURIYA,Independent,469
NEETA TIWARI,Independent,421
ER. RAMNATH SAHU,Lok Dal,393
SHANKARLAL KUSHWAHA,Shivsena,279
SUNIL PRAJAPATI,Independent,247
ARUN KUMAR SAHU,Jan Adhikar Manch,222
PT. KRISHNA GOPAL DWIVEDI,Hind Jan Congress,183
None of the Above,None of the Above,953
