Candidate,Party,Votes
DIGVIJAY NARAYAN ALIS JAY CHAUBEY,Bharatiya Janata Party,72061
MASHHOOR ALAM CHOUDHARY,Bahujan Samaj Party,56024
DR. MOHD. AYUB,Peace Party,42041
JAVED AHMED,Samajwadi Party,28274
GANGA SINGH,Rashtriya Lok Dal,6872
VIJAY KUMAR SHUKLA ADVOCATE,Communist Party of India,2590
TAFSIRULLAH,All India Majlis-E-Ittehadul Muslimeen,2578
DHANUSHDHARI,Nationalist Congress Party,1530
PREM PRAKASH TRIPATHI,Independent,1500
MANBHAWATI,Independent,1394
SUNITA YADAV,Independent,1296
DHARMENDRA KUMAR,Independent,896
PRADEEP GUPTA,Independent,749
RAM AJOR,Independent,726
MOHAMMAD ALI,Parcham Party of India,687
ALAUDDIN,Samaj Seva Party,668
RAMSWARATH,Bharatiya Subhash Sena,651
SATYA NARAYAN,Independent,622
SHAILENDRA KUMAR,Bahujan Mukti Party,527
BAIJNATH,Independent,507
BADDHNATH TIWARI,Independent,503
AMRATA SINGH,Independent,477
None of the Above,None of the Above,835
