Candidate,Party,Votes
KU. NARENDRA PAL SINGH,Bharatiya Janata Party,105988
CHHOTE SINGH,Bahujan Samaj Party,54504
UMAKANTI,Indian National Congress,53160
BALGOVIND,Independent,6468
RAHUL SHARMA,Rashtriya Lok Dal,1883
RAJA RUDRAVAN SINGH,Sarv Sambhaav Party,1265
NITESH KUMAR,Jan Adhikar Party (Loktantrik),1073
JASRAM SINGH,Independent,1022
SHIV VEER SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),809
ANJANI,Swatantra Jantaraj Party,803
None of the Above,None of the Above,2356
