Candidate,Party,Votes
ANIL KUMAR DOHARE,Samajwadi Party,99635
BANWARI LAL DOHARE,Bharatiya Janata Party,97181
ANURAG SINGH,Bahujan Samaj Party,44182
KRIPARAM,Bharatiya Subhash Sena,1160
SHRIKANT SINGH,Independent,946
SUNIL,Independent,860
RAM PRAKASH SINGH,Jan Adhikar Manch,578
RAJ KATHERIA,Independent,562
MUKESH KUMAR JATAV,Apna Dal,413
NEETU SINGH,Bahujan Mukti Party,304
DEEPAK DOHARE,Voters Party  International,283
BIRENDRA,Independent,246
None of the Above,None of the Above,1706
