Candidate,Party,Votes
SOHIL AKHTAR ANSARI,Indian National Congress,81169
RAGHUNANDAN SINGH BHADAURIA,Bharatiya Janata Party,71805
NASEEM AHMAD,Bahujan Samaj Party,14079
MOHD. HASSAN ROOMI,Samajwadi Party,5954
RANJIT SINGH SANGAR,Shivsena,422
MANOJ KUMAR,Nationalist Congress Party,393
DHARMENDRA SINGH,Rashtriya Lok Dal,307
SUDHA GUPTA,Bhartiya Shakti Chetna Party,293
MOHD SHAHABUDDIN,Rashtriya Ulama Council,274
MOHIT,Sarv Sambhaav Party,229
SANTOSH KUMAR KUSHAWAHA,Independent,221
DANISH ALI,National Peace Party Secular,215
MOHD. FIROJ,Samajwadi Janata Party (ChandraShekhar),148
GAURAV KUMAR MISHRA,Sarvjan Samta Party,140
DINESH KUMAR GUPTA,RASHTRIYA VIKLANG PARTY,84
None of the Above,None of the Above,729
