Candidate,Party,Votes
RAJESH KUMAR SINGH (CHUNNU),Bharatiya Janata Party,76307
ANEESURREHMAN,Samajwadi Party,73959
MOHD. NASIR,Bahujan Samaj Party,43820
FIZAULLAH CHAUDHRY,All India Majlis-E-Ittehadul Muslimeen,22908
MUHAMMED USMAN ALI,Peace Party,13931
DINESH KUMAR SAINI,Independent,10924
AFAK ALI KHAN,Rashtriya Lok Dal,3458
KASHIF,Independent,1744
RAMRAKSHPAL,Shivsena,1086
MOHAMMAD AMIL,National Lokmat Party,950
RAFIULLAH KHAN,Independent,866
MADAN LAL SINGH,Nationalist Congress Party,861
MOHD ISRAR,Independent,744
SATISH KUMAR,Rashtriya Congress(J) Party,351
None of the Above,None of the Above,1199
