Candidate,Party,Votes
UJJWAL RAMAN SINGH,Samajwadi Party,80806
PIYUSH RANJAN,Bharatiya Janata Party,65782
DEEPAK PATEL,Bahujan Samaj Party,40998
BABITA SINGH,Independent,1522
RAJENDRA SINGH,Rashtriya Lok Dal,1170
SUVEDAR,Independent,1095
SUJEET,Independent,1094
RAJESH,Bahujan Mukti Party,786
PRAMOD SINGH SINGH,Independent,729
VIMAL KUMAR DWIVEDI,Independent,716
AJEET KUMAR PATEL,Independent,547
MANOJ KUMAR SINGH,Independent,357
JAI PRAKASH MISHRA,Republican Party of India,304
KANCHAN DEVI,Bharatiya Kisan Sena Loktantrik,292
AJAY KUMAR,Independent,228
None of the Above,None of the Above,2308
