Candidate,Party,Votes
VEER VIKRAM SINGH PRINCE,Bharatiya Janata Party,76509
RAJESH YADAV,Samajwadi Party,59779
ADHIWAKTA RAJEEV KASHYAP,Bahujan Samaj Party,47471
VIVIDH KUMAR,Rashtriya Lok Dal,1288
SANJEEV KUMAR MISHRA,Independent,1243
SUNEETA DEVI,Mahan Dal,1015
SURAJ PAL,Independent,837
JAYVEER SINGH,Rashtriya Janadhar  Party,785
RAJ KUMAR,Independent,624
VEDRAM,Bharatiya Subhash Sena,594
DINESH,Jan Adhikar Manch,414
CHOTEY LAL,Independent,360
KRISHNA PAL SINGH,Independent,243
None of the Above,None of the Above,1830
