Candidate,Party,Votes
JATASHANKER TRIPATHI,Bharatiya Janata Party,82537
VIJAY PRATAP KUSHWAHA,Bahujan Samaj Party,44040
VIJENDRA PAL YADAV,Samajwadi Party,34982
NISAR AHMAD,All India Majlis-E-Ittehadul Muslimeen,8903
KISHOR KUMAR,Peace Party,7126
AJAY GOVIND RAO,Shivsena,4721
RAJKUMAR TULSYAN,Independent,2120
DHANANJAY,Rashtriya Lok Dal,1934
VIJAI YADAV,Independent,1549
HASINA,Independent,1412
VIJAY KUSHWAHA,Independent,1371
CHHOTELAL,Independent,821
LACHHAN PRASAD PRAJAPATI,Jay Hind Jay Bharat Party,590
RAJANISH KUSHWAHA,Independent,573
RAMDHANI,Jan Adhikar Party,509
None of the Above,None of the Above,2140
