Candidate,Party,Votes
VIKRAM SINGH,Bharatiya Janata Party,94771
CHANDAN SINGH CHAUHAN,Samajwadi Party,63397
SHIVAN SINGH SAINI,Bahujan Samaj Party,37380
SHAHNAWAZ RANA,Rashtriya Lok Dal,12846
BRAHM SINGH,Communist Party of India,823
JANARDAN SHARMA,Hindustan Utthan Party,626
YAJPAL,Independent,598
SURENDRA KUMAR,Akhil Bharat Hindu Mahasabha,332
ADESH,Bharatiya Bahujan Parivartan  Party,315
DEEPAK KUMAR,Independent,315
BHARATVIR,Independent,312
AASHI GAUR,Lok Dal,207
SATAYVEER SINGH,Independent,201
BRAJ BHUSHAN,Bhartiya Sarvodaya Party,148
MAYA,Akhil Bhartiya Vikas Congress Party,131
None of the Above,None of the Above,694
