Candidate,Party,Votes
MAHESH KUMAR GOYAL,Bharatiya Janata Party,93510
BHAGWAN SINGH KUSHWAHA,Bahujan Samaj Party,61511
KUSUMLATA DIXIT,Indian National Congress,23088
RAMNATH,Independent,7680
RAMENDRA SINGH PARMAR,Rashtriya Lok Dal,6520
VANGALI RAM KUSHWAH,Independent,1603
RANDHIR SINGH,Independent,742
RAJVIR SINGH,Ambedkarite Party of India,682
ISHVA KHAN,Independent,594
DHARMENDRA KUMAR SHARMA,Independent,370
AMBEDKARI HASANURAM AMBEDKARI,Independent,336
JAL DEVI,Independent,331
VIR BAHADUR ALIAS VIR BAHADUR DHAKRAY,Lok Dal,328
BHIMSAIN KUSHAWAHA,Independent,263
None of the Above,None of the Above,1223
