Candidate,Party,Votes
ANIL PARASHAR,Bharatiya Janata Party,93814
SHAZ ISHAQ URF AJJU ISHAQ,Samajwadi Party,42851
VIVEK BANSAL,Indian National Congress,38623
RAM KUMAR SHARMA,Bahujan Samaj Party,37909
ZAMEER ULLAH KHAN,Independent,10912
MAMTA TIWARI,Independent,473
PARVEZ KHAN,All India Majlis-E-Ittehadul Muslimeen,463
LALIT SARASWAT,Independent,463
ASHOK KUMAR PANDEY,Akhil Bharat Hindu Mahasabha,442
TULSI GAUD,Independent,423
THAKUR SOMVEER SINGH,Sarva Samaj Kalyan Party,266
RAJIV KUMAR SINGH,Samajwadi Janata Party (ChandraShekhar),213
RAMDUTT,Bharatiya Subhash Sena,155
None of the Above,None of the Above,1580
