Candidate,Party,Votes
RAJMANI,Bharatiya Janata Party,100427
RAM KRIPAL,Indian National Congress,46731
RAJ BALI JAISAL,Bahujan Samaj Party,26056
DHARM RAJ,Independent,5134
RAM DEV,Samajwadi Party,3958
SHIV JANAK,Bahujan Mukti Party,2214
CHIRAUNJI LAL,Communist Party of India  (Marxist),1861
AKHILESH KUMAR,Bhartiya Shakti Chetna Party,1285
TEJBALI,Independent,1244
RAVI SHANKAR,Aadim Samaj Party,1136
RANG LAL,Jan Adhikar Party,1083
MAYAWATI,Rashtriya Lok Dal,983
PANCHAM LAL,Communist Party of India  (Marxist-Leninist)  (Liberation),907
None of the Above,None of the Above,3208
