Candidate,Party,Votes
MOHAMMAD RIZWAN,Samajwadi Party,110561
RAMVEER SINGH,Bharatiya Janata Party,99740
AKBAR HUSAIN,Bahujan Samaj Party,36071
ISRAR HUSAIN,All India Majlis-E-Ittehadul Muslimeen,7025
MOHAMMAD NABI,Rashtriya Lok Dal,4078
MOHD. ZAKI,Independent,1578
PAPPU SINGH,Independent,1342
RAMJANI,Peace Party,921
MOHD. RAIS,Independent,504
UVAIS,Independent,457
FAYYAZUL HUSAIN,Bharatiya Bahujan Parivartan  Party,278
SANTU URF SANTOSH KUMAR,Bharatiya Subhash Sena,246
IRFAN ALI,Independent,191
RAJENDRA,Jan Shakti Dal,168
None of the Above,None of the Above,1170
