Candidate,Party,Votes
SAKENDRA PRATAP VERMA,Bharatiya Janata Party,108403
FAREED MAHFOOZ KIDWAI,Samajwadi Party,79724
V.P.SINGH VERMA,Bahujan Samaj Party,51091
SARVAR ALI,Peace Party,8329
CH.TALIB NAJIB KOKAB,Independent,4381
AMAR SINGH,Rashtriya Lok Dal,2445
VINOD KUMAR YADAV,Communist Party of India,1985
MO.HAROON,Independent,1000
ANITA SINGH,Independent,886
OMPRAKASH DAS,Bhartiya Krishak Dal,817
RAMOO LAL VERMA,Bahujan Mukti Party,602
MAHENDRA PAL SINGH S/O BARATILAL,Rashtravyapi Janta Party,456
MAHENDRA PAL SINGH S/O SWAMI NATH,Hamari Apni Party,432
RAM KISHOR,Dr. Bhimrao Ambedkar Dal,402
NEELAM SAINI,Adarsh Samaj Party,318
None of the Above,None of the Above,1460
