Candidate,Party,Votes
RAJNIKANT MANI TRIPATHI,Bharatiya Janata Party,97132
RAJESH PRATAP RAV ALIAS BANTI BHAIYA,Bahujan Samaj Party,49029
BRAHMASHANKAR TRIPATHI,Samajwadi Party,46369
ZAKIR ALI,Nationalist Congress Party,1764
SATVANT YADAV,Peace Party,1726
VIDAYA SAGAR SINGH,Bhartiya Shakti Chetna Party,1358
SUDHAKAR PANDEY,Independent,1085
RADHIKA DEVI,Independent,1011
AMBRISH KUMAR SRIVASTAV,Independent,964
MANISH KUMAR GUPTA,Jan Adhikar Party,903
None of the Above,None of the Above,2208
