Candidate,Party,Votes
DR. REETA JOSHI,Bharatiya Janata Party,95402
APARNA YADAV,Samajwadi Party,61606
YOGESH DIXIT,Bahujan Samaj Party,26036
VIRENDRA KUMAR SHUKLA,Rashtriya Lok Dal,720
KUNWAR GAURAV UPADHYAY,Shivsena,397
CHATURI PRASAD,Independent,388
HABIB RAHMAT SIDDIQUI,Independent,253
ANURAG DIXIT (MUNNA),Independent,233
RAJNIKANT DUBEY,Samaj Sevak Party,208
S.P. SINGH,Adarsh Vyawastha Party,190
SACHCHIDANAND SRIVASTAVA,Loktantrik Samajwadi Party,183
MANJU MAURYA,Jan Adhikar Manch,173
NEERAJ KUMAR PAL,Bahujan Mukti Party,173
PRASHANT SINGH,Indian Savarn Samaj Party,169
LAKHAN AWASTHI,Swarajya Party Of India,152
None of the Above,None of the Above,1150
