Candidate,Party,Votes
SUNEEL VERMA,Bharatiya Janata Party,79467
MO. JASMEER ANSARI,Bahujan Samaj Party,70349
ANIL KUMAR VERMA,Indian National Congress,67102
NEERAJ KUMAR VERMA,Lok Gathbandhan Party,1682
RAJKUMAR,Rashtriya Lok Dal,1580
SUNDARI DEVI,Independent,1299
VINOD KUMAR,Independent,1100
RAMSANEHI,Independent,1038
MAIKU LAL,Sabka Dal United,927
SURESH CHANDRA,Awami Samta Party,698
RAJESH KUMAR RATHOUR,Bharatiya Subhash Sena,496
RAKESH KUMAR,Independent,493
MANTOONA,Independent,463
None of the Above,None of the Above,2861
