Candidate,Party,Votes
RAMRATAN KUSHWAHA,Bharatiya Janata Party,156942
JYOTI SINGH,Samajwadi Party,88687
SANTOSH KUSHWAHA,Bahujan Samaj Party,55549
PARVAT LAL AHIRWAR,Communist Party of India,3479
PRADEEP KUMAR GUPTA,Independent,1602
GANESHRAM RAJAK,Independent,1556
SACHENDRA,Independent,1305
OMPRAKASH,Bahujan Mukti Party,1186
KAMALESH KUMAR,Independent,1027
KRANTI,Rashtriya Kisan Majdoor Party,947
RAJENDRA KUMAR KUSHWAH,Jan Adhikar Party,711
None of the Above,None of the Above,4859
