Candidate,Party,Votes
DEOMANI DWIVEDI,Bharatiya Janata Party,78627
VINOD SINGH,Bahujan Samaj Party,65724
SANTOSH PANDEY,Samajwadi Party,47633
ARVIND KUMAR YADAV,Rashtriya Lok Dal,1702
CHHOTE LAL,Independent,1513
JAI PRAKASH MAURYA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),842
SANJEEV,Independent,836
BABULAL,Bahujan Mukti Party,790
KAMLESH SHUKLA,Independent,621
DR. H.R.YADAV,Swachh Swasth Swawlambijan Party,508
BHASKAR DEV,Pichhada Samanya Alpsankhyak Vyapari Kisan Party,395
ARVIND KUMAR,Independent,364
DR. SHIV SHANKAR INDIAN,Most Backward Classes Of India,352
None of the Above,None of the Above,1785
