Candidate,Party,Votes
BRIJESH PATHAK,Bharatiya Janata Party,78400
RAVIDAS MEHROTRA,Samajwadi Party,73306
RAJEEV SRIVASTAVA,Bahujan Samaj Party,24313
ABDUL MAROOF KHAN,Indian National Congress,12921
MOHAMMAD IRFAN,All India Majlis-E-Ittehadul Muslimeen,2314
RAMESH CHANDRA,Rashtriya Lok Dal,554
SANT ANSHUMALI YOGI,Param Digvijay Dal,503
SHYAM SONKAR,Shivsena,254
AMIT SINGH AKA ANNA,Rashtriya Janadhar  Party,252
HASEEN KHAN,Nagrik Ekta Party,233
SURESH KUMAR SRIVASTAVA,Swarajya Party Of India,225
MOHAMMAD ARSHAD ALI,Jan Sangharsh Virat Party,210
VINOD KUMAR TRIVEDI,Socialist Party (India),179
SARVAN KUMAR AGARWAL,Rashtriya Shahri Vikas Party,177
SITA RAM,Uttar Pradesh Republican Party,165
ANJU VISHWAKARMA,Mahila Swabhiman Party,104
DR. NAFEES AHMAD,Rastriya Insaaf Party,91
None of the Above,None of the Above,824
