Candidate,Party,Votes
"ASHUTOSH TANDAN ""GOPAL JI""",Bharatiya Janata Party,135167
ANURAG SINGH,Indian National Congress,55937
SAROJ KUMAR SHUKLA,Bahujan Samaj Party,31390
ROHIT AGARWAL,Rashtriya Lok Dal,921
AKHILESH KUMAR SINGH,All India Forward Bloc,512
PRABHU NATH RAI,Independent,416
R.D. SHUKLA,Independent,318
SUBHASH CHANDRA MAURYA,Jan Adhikar Manch,316
RATISH CHANDRA UPADHYAYA,Uttarakhand Kranti Dal,259
TEJ KUMAR SHUKLA,Indian Savarn Samaj Party,225
SANT AMRITA YOGI,Param Digvijay Dal,217
SHRAVAN KUMAR SHUKLA,Rashtriya Shahri Vikas Party,184
DURGESH KUMAR TIWARI,Jan Sevak Party,182
KAILASH BAHADUR SINGH,Independent,179
PRADEEP KUMAR SINGH (P.K. SINGH),Sarvodaya Bharat Party,145
None of the Above,None of the Above,1747
