Candidate,Party,Votes
DR.NEERAJ BORA,Bharatiya Janata Party,109315
ABHISHEK MISHR,Samajwadi Party,82039
AJAY KUMAR SRIVASTAVA,Bahujan Samaj Party,29955
SANJAY SINGH RANA,Independent,749
DR SEEMA SINGH,Sarv Sambhaav Party,663
ASHUTOSH SINGH CHAUHAN,Independent,599
AMAR KUMAR RAIZADA,Akhil Bharatiya Jan Sangh,544
ANSAR AHMAD,Independent,229
SOMESHWAR PANDAY,Indian Savarn Samaj Party,216
NEERAJ KUMAR JAISAWAL,National Youth Party,194
HEMLATA SHARMA,Param Digvijay Dal,174
KAFEEL AHMAD KHAN,Rashtriya Shahri Vikas Party,139
HASAN AGHA JAFRI,Manviya Bharat Party,134
SHAMBHU PRASAD DIVEDI,Fauji Janta Party,127
None of the Above,None of the Above,1370
