Candidate,Party,Votes
SURESH KUMAR SHRIVASTAV,Bharatiya Janata Party,93022
MOD REHAN,Samajwadi Party,79950
ARMAAN KHAN,Bahujan Samaj Party,36247
MOHAMMAD TAUHEED SIDDIQUI,All India Majlis-E-Ittehadul Muslimeen,1770
MANOJ KUMAR GUPTA,Independent,1053
MOD RAFIQ ANSARI,Independent,746
MOD AKRAM KHAN,Communist Party of India,596
PRAMOD SINGH YADAV,Rashtriya Lok Dal,583
JAY SINGH ALYAS  MANAVTAVADI,Independent,565
GULAB AHAMAD,Bhagidari Kranti Dal,537
SYYED HASAN KAUSAR,Independent,499
PRASHANT SONI,Bhartiya Shakti Chetna Party,287
NITIN DWIVEDI,Independent,248
SURAT SINGH,Lok Dal,231
HASAN IMAAM ABDI,Rashtriya Shahri Vikas Party,228
SHTENDRA KUMAR VERMA,Bahujan Mukti Party,182
SYYED FARHAT AZMI,Akhil Bhartiya Vikas Congress Party,175
None of the Above,None of the Above,635
