Candidate,Party,Votes
RAKESH SINGH BAGHEL,Bharatiya Janata Party,86976
ANIL KUMAR TRIPATHI,Bahujan Samaj Party,44062
JAICHAND ALIAS JAIRAM PANDEY,Samajwadi Party,37557
ER. MOHAMMAD IRFAN,Peace Party,25499
MOHD. TABISH KHAN,All India Majlis-E-Ittehadul Muslimeen,19040
MOHD. AKRAM HUSAIN,Rashtriya Lok Dal,3445
MUKESH KUMAR,Independent,1435
RAM KRISHNA,Independent,1249
RAJARAM,Independent,856
AWADHESH,Independent,747
AJAY KUMAR,Independent,731
AMIT KUMAR,Independent,560
None of the Above,None of the Above,2663
